V0,V1,V2,V3,V4,V5
V0,0.0,5.3,5.0,5.3,5.3,6.6
V1,1.0,0.0,6.0,6.3,1.9,3.2
V2,1.3,0.3,0.0,0.5,0.3,1.6
V3,15.4,14.4,14.1,0.0,14.4,5.0
V4,11.7,10.7,10.4,10.9,0.0,1.3
V5,10.4,9.4,9.1,9.6,9.4,0.0
